Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,Wohnviertel_id,Wohnviertel,Rang
2017,1,2016,2016,0.0192458759,Sozialhilfeanteil,1,Altstadt Grossbasel,3
2017,1,2016,2016,0.0292712067,Sozialhilfeanteil,2,Vorstädte,5
2017,1,2016,2016,0.0358673374,Sozialhilfeanteil,3,Am Ring,8
2017,1,2016,2016,0.0574082363,Sozialhilfeanteil,4,Breite,12
2017,1,2016,2016,0.0297356828,Sozialhilfeanteil,5,St. Alban,6
2017,1,2016,2016,0.0721360097,Sozialhilfeanteil,6,Gundeldingen,14
2017,1,2016,2016,0.0155299739,Sozialhilfeanteil,7,Bruderholz,2
2017,1,2016,2016,0.0260689757,Sozialhilfeanteil,8,Bachletten,4
2017,1,2016,2016,0.0440251572,Sozialhilfeanteil,9,Gotthelf,9
2017,1,2016,2016,0.0941134157,Sozialhilfeanteil,10,Iselin,17
2017,1,2016,2016,0.0874826741,Sozialhilfeanteil,11,St. Johann,16
2017,1,2016,2016,0.0721153846,Sozialhilfeanteil,12,Altstadt Kleinbasel,13
2017,1,2016,2016,0.0797912006,Sozialhilfeanteil,13,Clara,15
2017,1,2016,2016,0.0478045326,Sozialhilfeanteil,14,Wettstein,11
2017,1,2016,2016,0.0474539545,Sozialhilfeanteil,15,Hirzbrunnen,10
2017,1,2016,2016,0.1051587302,Sozialhilfeanteil,16,Rosental,18
2017,1,2016,2016,0.1200878845,Sozialhilfeanteil,17,Matthäus,19
2017,1,2016,2016,0.1362121633,Sozialhilfeanteil,18,Klybeck,20
2017,1,2016,2016,0.1431040442,Sozialhilfeanteil,19,Kleinhüningen,21
2017,1,2016,2016,0.0354745012,Sozialhilfeanteil,20,Riehen,7
2017,1,2016,2016,0.012605042,Sozialhilfeanteil,30,Bettingen,1
2017,2,2016,2016,0.2706205813,Auslaenderanteil,1,Altstadt Grossbasel,6
2017,2,2016,2016,0.3823178017,Auslaenderanteil,2,Vorstädte,14
2017,2,2016,2016,0.3487982113,Auslaenderanteil,3,Am Ring,11
