Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,IndikatorLabelShort,Wohnviertel_id,Wohnviertel,Rang,Indikator-Kategorie,Gewichtung_Text,Bewertung_Text,Einheit,wert_txt
2021,1,2020,2020,0.0125047366,Sozialhilfequote,Anteil Sozialhilfeempfänger,1,Altstadt Grossbasel,1,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,25%"
2021,1,2020,2020,0.0356506239,Sozialhilfequote,Anteil Sozialhilfeempfänger,2,Vorstädte,9,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,57%"
2021,1,2020,2020,0.0313189237,Sozialhilfequote,Anteil Sozialhilfeempfänger,3,Am Ring,6,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,13%"
2021,1,2020,2020,0.0546900895,Sozialhilfequote,Anteil Sozialhilfeempfänger,4,Breite,12,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,47%"
2021,1,2020,2020,0.0343504944,Sozialhilfequote,Anteil Sozialhilfeempfänger,5,St. Alban,8,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,44%"
2021,1,2020,2020,0.0623445356,Sozialhilfequote,Anteil Sozialhilfeempfänger,6,Gundeldingen,13,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,23%"
2021,1,2020,2020,0.0187361067,Sozialhilfequote,Anteil Sozialhilfeempfänger,7,Bruderholz,3,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,87%"
2021,1,2020,2020,0.0231061714,Sozialhilfequote,Anteil Sozialhilfeempfänger,8,Bachletten,4,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,31%"
2021,1,2020,2020,0.0386586616,Sozialhilfequote,Anteil Sozialhilfeempfänger,9,Gotthelf,10,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,87%"
2021,1,2020,2020,0.0913255418,Sozialhilfequote,Anteil Sozialhilfeempfänger,10,Iselin,19,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"9,13%"
2021,1,2020,2020,0.0796030518,Sozialhilfequote,Anteil Sozialhilfeempfänger,11,St. Johann,17,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"7,96%"
2021,1,2020,2020,0.0654515327,Sozialhilfequote,Anteil Sozialhilfeempfänger,12,Altstadt Kleinbasel,15,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,55%"
2021,1,2020,2020,0.0837026096,Sozialhilfequote,Anteil Sozialhilfeempfänger,13,Clara,18,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,37%"
2021,1,2020,2020,0.0278884462,Sozialhilfequote,Anteil Sozialhilfeempfänger,14,Wettstein,5,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,79%"
2021,1,2020,2020,0.0484894097,Sozialhilfequote,Anteil Sozialhilfeempfänger,15,Hirzbrunnen,11,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,85%"
2021,1,2020,2020,0.0776876798,Sozialhilfequote,Anteil Sozialhilfeempfänger,16,Rosental,16,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"7,77%"
2021,1,2020,2020,0.1109538818,Sozialhilfequote,Anteil Sozialhilfeempfänger,17,Matthäus,20,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"11,1%"
2021,1,2020,2020,0.1264416315,Sozialhilfequote,Anteil Sozialhilfeempfänger,18,Klybeck,22,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"12,6%"
