Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,IndikatorLabelShort,Wohnviertel_id,Wohnviertel,Rang,Indikator-Kategorie,Gewichtung_Text,Bewertung_Text,Einheit,wert_txt
2018,1,2017,2017,0.0166023166,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,1,Altstadt Grossbasel,2,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,66%"
2018,1,2017,2017,0.0362911266,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,2,Vorstädte,6,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,63%"
2018,1,2017,2017,0.0369102683,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,3,Am Ring,7,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,69%"
2018,1,2017,2017,0.0592991914,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,4,Breite,12,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,93%"
2018,1,2017,2017,0.039971321,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,5,St. Alban,9,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,00%"
2018,1,2017,2017,0.0714703225,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,6,Gundeldingen,14,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"7,15%"
2018,1,2017,2017,0.0179556517,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,7,Bruderholz,3,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,80%"
2018,1,2017,2017,0.0246931835,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,8,Bachletten,4,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,47%"
2018,1,2017,2017,0.046390258,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,9,Gotthelf,10,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,64%"
2018,1,2017,2017,0.0970977506,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,10,Iselin,18,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"9,71%"
2018,1,2017,2017,0.0888650964,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,11,St. Johann,17,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,89%"
2018,1,2017,2017,0.0799512987,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,12,Altstadt Kleinbasel,15,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,00%"
2018,1,2017,2017,0.0844760039,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,13,Clara,16,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"8,45%"
2018,1,2017,2017,0.0359855335,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,14,Wettstein,5,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,60%"
2018,1,2017,2017,0.048733362,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,15,Hirzbrunnen,11,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"4,87%"
2018,1,2017,2017,0.1117673785,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,16,Rosental,19,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"11,18%"
2018,1,2017,2017,0.1171948838,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,17,Matthäus,20,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"11,72%"
2018,1,2017,2017,0.1394900069,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,18,Klybeck,22,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"13,95%"
2018,1,2017,2017,0.1332630098,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,19,Kleinhüningen,21,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"13,33%"
2018,1,2017,2017,0.0369328834,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,20,Riehen,8,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"3,69%"
2018,1,2017,2017,0.0159529807,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,30,Bettingen,1,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,60%"
2018,1,2017,2017,0.0698584839,Sozialhilfeanteil,Anteil Sozialhilfeempfänger,99,Kanton Basel-Stadt,13,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"6,99%"
2018,2,2017,2017,0.2841698842,Auslaenderanteil,Anteil Ausländer,1,Altstadt Grossbasel,7,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"28,4%"
2018,2,2017,2017,0.3840478564,Auslaenderanteil,Anteil Ausländer,2,Vorstädte,15,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"38,4%"
2018,2,2017,2017,0.3619796485,Auslaenderanteil,Anteil Ausländer,3,Am Ring,12,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"36,2%"
2018,2,2017,2017,0.3286163522,Auslaenderanteil,Anteil Ausländer,4,Breite,9,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"32,9%"
2018,2,2017,2017,0.3310629145,Auslaenderanteil,Anteil Ausländer,5,St. Alban,10,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"33,1%"
2018,2,2017,2017,0.3930070673,Auslaenderanteil,Anteil Ausländer,6,Gundeldingen,16,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"39,3%"
2018,2,2017,2017,0.2398053002,Auslaenderanteil,Anteil Ausländer,7,Bruderholz,2,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"24,0%"
2018,2,2017,2017,0.2142540293,Auslaenderanteil,Anteil Ausländer,8,Bachletten,1,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"21,4%"
2018,2,2017,2017,0.2752971876,Auslaenderanteil,Anteil Ausländer,9,Gotthelf,6,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"27,5%"
2018,2,2017,2017,0.3791322927,Auslaenderanteil,Anteil Ausländer,10,Iselin,14,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"37,9%"
2018,2,2017,2017,0.4300856531,Auslaenderanteil,Anteil Ausländer,11,St. Johann,17,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"43,0%"
2018,2,2017,2017,0.3717532468,Auslaenderanteil,Anteil Ausländer,12,Altstadt Kleinbasel,13,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"37,2%"
2018,2,2017,2017,0.4674338883,Auslaenderanteil,Anteil Ausländer,13,Clara,18,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"46,7%"
2018,2,2017,2017,0.3113924051,Auslaenderanteil,Anteil Ausländer,14,Wettstein,8,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"31,1%"
2018,2,2017,2017,0.249463289,Auslaenderanteil,Anteil Ausländer,15,Hirzbrunnen,4,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"24,9%"
2018,2,2017,2017,0.5577767681,Auslaenderanteil,Anteil Ausländer,16,Rosental,22,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"55,8%"
2018,2,2017,2017,0.5057022242,Auslaenderanteil,Anteil Ausländer,17,Matthäus,20,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"50,6%"
2018,2,2017,2017,0.5235010338,Auslaenderanteil,Anteil Ausländer,18,Klybeck,21,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"52,4%"
2018,2,2017,2017,0.4743319269,Auslaenderanteil,Anteil Ausländer,19,Kleinhüningen,19,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"47,4%"
2018,2,2017,2017,0.2609673791,Auslaenderanteil,Anteil Ausländer,20,Riehen,5,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"26,1%"
2018,2,2017,2017,0.241813602,Auslaenderanteil,Anteil Ausländer,30,Bettingen,3,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"24,2%"
2018,2,2017,2017,0.359870947,Auslaenderanteil,Anteil Ausländer,99,Kanton Basel-Stadt,11,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"36,0%"
2018,3,2017,2017,0.5196911197,Anteilkonfessionslose,Anteil Personen ohne Religionszugehörigkeit,1,Altstadt Grossbasel,19,Gesellschaft und Soziales,Der Anteil Personen ohne Religionszugehörigkeit ist für mich,Ein hoher Anteil Personen ohne Religionszugehörigkeit ist für mich,,"52,0%"
2018,3,2017,2017,0.5509471585,Anteilkonfessionslose,Anteil Personen ohne Religionszugehörigkeit,2,Vorstädte,21,Gesellschaft und Soziales,Der Anteil Personen ohne Religionszugehörigkeit ist für mich,Ein hoher Anteil Personen ohne Religionszugehörigkeit ist für mich,,"55,1%"
2018,3,2017,2017,0.5094357077,Anteilkonfessionslose,Anteil Personen ohne Religionszugehörigkeit,3,Am Ring,18,Gesellschaft und Soziales,Der Anteil Personen ohne Religionszugehörigkeit ist für mich,Ein hoher Anteil Personen ohne Religionszugehörigkeit ist für mich,,"50,9%"
2018,3,2017,2017,0.4916891285,Anteilkonfessionslose,Anteil Personen ohne Religionszugehörigkeit,4,Breite,14,Gesellschaft und Soziales,Der Anteil Personen ohne Religionszugehörigkeit ist für mich,Ein hoher Anteil Personen ohne Religionszugehörigkeit ist für mich,,"49,2%"
2018,3,2017,2017,0.4933679871,Anteilkonfessionslose,Anteil Personen ohne Religionszugehörigkeit,5,St. Alban,15,Gesellschaft und Soziales,Der Anteil Personen ohne Religionszugehörigkeit ist für mich,Ein hoher Anteil Personen ohne Religionszugehörigkeit ist für mich,,"49,3%"
2018,3,2017,2017,0.4567724109,Anteilkonfessionslose,Anteil Personen ohne Religionszugehörigkeit,6,Gundeldingen,6,Gesellschaft und Soziales,Der Anteil Personen ohne Religionszugehörigkeit ist für mich,Ein hoher Anteil Personen ohne Religionszugehörigkeit ist für mich,,"45,7%"
